Doge Matrix,81.747437174,959,0.0081,978171.210398388
KETCHUUUUUUP,288.247282903,3925,0,9547154.184483549
yurang ,236.178725645,1497,0,2998636.122398384
420 Club,40.366800443,138,3.1252,66862.00161030931
I AM IRONYMAN,475.314461201,6825,0,30431122.93346155
Rizzyear,192.889591606,2272,0,1223855.040668304
pxlpshr,237.645426951,2264,3.4706,8296306.422360941
DOGEN,38.95397163,1230,0,299186.827602654
WOULD,170.406526283,1298,0,4912641.893488107
ai16zero,138.276496311,950,0,1884457.311647538
Its Pink,43.808191206,398,4.5,1667483.217642625
Machine Delusions,161.729950095,703,3.1252,981950.9432052572
MUSKWIFHAT,1591.803826126,377,0,777837.1454137092
Sasha - Dasha’s Lil Shi,75.030357148,263,3.5767,203277.6037215373
Machine Delusions,161.123436412,705,3.1252,982624.5009794066
Giant Goose,309.773175444,10526,0,2553320.675479724
First AI Owned Dog,196.987776023,1265,0.9996,2465064.566661965
IRL LIVE STREAM UNTIL 100M,189.22191,1785,1.0624,3810638.72078822
WOULD,174.406526283,1299,0,4913675.546644878
PA(JEET),74.752256098,127,0,81525.51159312527
Machine Delusions,166.082697583,705,3.1252,984857.382721262
MUSKWIFHAT,1593.440826126,377,0,778260.1679681174
420 Club,40.366800443,138,3.1252,66862.00161030931
pxlpshr,237.744426951,2265,3.4706,8296332.005276571
WOULD,178.456526283,1301,0,4914722.120466107
Memelink,60.962126256,202,0.3565,172981.0722551502
PA(JEET),74.802037043,128,0,81538.37565086182
Modest cat,261.163396658,3588,0,10579510.4578465
Let me do it for you,91.523604446,261,2.5148,99974.78825442951
GYMGUY,57.484763619,221,0,146973.8029250755
just a tiny hippo,85.581078285,378,0,220341.7784370011
Just a Puff Guy,50.77159799,184,0,93832.17466109828
pxlpshr,237.300751361,2265,3.4706,8296405.511062788
autism space dog,61.198586193,129,0,163882.6672450759
PA(JEET),74.802037044,128,0,81544.84202040132
Kim Jong Musk,39.459457067,165,0,194579.7400972136
BIG PEPE ON SOL ,64.747730703,452,3.5917,77695.05677781497
Giant Goose,310.545375444,10527,0,2553520.222221638
MUSTAAAAAARD,2407.675608025,15092,0.15,93185138.41697164
just a pickle,71.916962776,258,0,165543.6199623459
GYMGUY,57.484763619,221,0,147016.2321865133
I AM IRONYMAN,475.08857801,6825,0,30431181.30467992
LEVY,70.379219975,403,1.7591,130003.8444534599
Rizzyear,192.897143078,2272,0,1223856.992069021
pxlpshr,237.300751361,2265,3.4706,8296446.656945118
Faggot,102.488908378,513,0,688350.740926255
autism space dog,61.198586193,129,0,163896.1075915807
emilycc,86.975883689,711,0,941081.5706728254
ai16zero,138.471286296,951,0,1884507.647968264
Memelink,60.962276256,203,0.3565,172981.1110171435
MUSKWIFHAT,1592.067962955,375,0,778614.9340557468
Just a Chill Arab Guy,68.988708511,366,1.7609,253057.3966265342
OSMAN,187.184251228,3232,3.4613,12636042.97801667
squirting every 1M,53.809074344,117,4.0216,53120.56978908047
ai16zero,137.767467119,953,0,1884530.905164291
PA(JEET),74.85553226,130,0,81548.94356775598
MUSKWIFHAT,1599.894962955,375,0,779073.3592307743
Everybody Eats,40.641511753,255,1.5167,94111.04863736391
CATAR,74.392404934,220,0,120092.5302368516
WOULD,178.456526283,1301,0,4914722.120466107
First AI Owned Dog,196.987776023,1265,0.9996,2465064.566661965
DOGEN,38.95397163,1230,0,299186.827602654
MUSTAAAAAARD,2416.654513426,15093,0.15,93185650.51133032
Omega 3,87.658806591,1891,0.2777,399021.2772126814
MAYONNAISE,58.694378397,826,0,1919767.388714082
OIIA CAT,95.033290321,176,2,342149.6222665399
GYMGUY,57.484763621,221,0,147026.5249857664
Just a Puff Guy,50.811597991,185,0,93842.5111929244
Rizzyear,194.765625658,2272,0,1224244.61200281
WOULD,178.364720428,1301,0,4914771.685647983
Manatee Shot Dead,43.327852889,222,0,605276.1384193335
Kim Jong Musk,39.419314193,164,0,194590.1135493216
BIG PEPE ON SOL ,65.140364703,452,3.5917,77796.51862120378
Giant Goose,310.795375444,10528,0,2553584.825543936
MUSTAAAAAARD,2416.654513426,15093,0.15,93190121.18522188
Hyperstition,507.178368591,3232,1.195,21581486.29967719
KETCHUUUUUUP,288.204384555,3925,0,9547165.269986756
MoonDogLive,20.826073835,249,0,120877.6184786814
Taco The Sloth,73.98429625,1386,0,1735730.126183455
Just a coin,24.781706039,252,0,241249.6219951281
yurang ,236.283051811,1497,0,2998712.528446356
BIG PEPE ON SOL ,65.140364703,452,3.5917,77796.51862120378
I AM IRONYMAN,473.802239827,6824,0,30431563.10179404
Rizzyear,194.765625658,2272,0,1224339.832798318
autism space dog,61.198586195,129,0,163909.5479380856
ai16zero,137.767467119,953,0,1884839.403904521
Memelink,61.962276256,203,0.3565,173239.524306336
PA(JEET),74.85553226,130,0,81558.66589512394
Machine Delusions,163.399064186,704,3.1252,985550.8692543678
MUSKWIFHAT,1599.894962955,375,0,780637.5348702567
Sprunki,67.902579689,362,1.759,101361.3268469108
Manatee Shot Dead,43.327852889,222,0,605276.1384193335
MUSTAAAAAARD,2418.606144452,15094,0.15,93190641.10215804
First Living AI Organism ,23.372233636,405,0,119931.7312426951
Polar Inu,122.684153021,2808,4.0209,4489204.903815267
KAOMOJI,67.829768267,2580,0.0268,7859847.266998392
Erebus,64.531112872,158,3.9417,116852.4383849154
BIG PEPE ON SOL ,65.141543001,452,3.5917,77796.8231090656
dafuq,119.226235339,1309,0,3152458.289700435
Just a Puff Guy,50.831629524,186,0,93847.68760725448
I AM IRONYMAN,473.827746868,6825,0,30431569.6931524
DEPARTMENT OF CRYPTO EFFICIENCY,23.031792156,278,0,701043.7859437582
WOULD,181.364720428,1302,0,4915546.92551556
Machine Delusions,163.499064186,705,3.1252,985576.7105832872
Kim Jong Musk,39.325984848,163,0,194614.2310923412
ALGOHIVE,25.140219095,132,3.422,50979.68217499278
Machine Delusions,163.499064186,706,3.1252,985576.7105832872
I AM IRONYMAN,473.827746868,6825,0,30431569.6931524
gon,71.728595772,1788,0,6687943.233578391
OSMAN,188.184251228,3231,3.4613,12636301.39130587
CATAR,74.392404935,220,0,120097.698502377
MAGAvengers,73.198137883,182,2.3095,99109.09478601164
Machine Delusions,162.958499353,706,3.1252,985768.2631095716
DOGGY,23.156011557,614,0,200251.1109996176
Giant Goose,310.852855928,10529,0,2554373.398054461
MUSTAAAAAARD,2417.595264888,15091,0.15,93190902.32687116
ALGOHIVE,25.239219095,132,3.422,51005.26509062284
State Of Fading ,37.979614188,214,0,270316.6626589147
I AM IRONYMAN,473.768555107,6824,0,30431584.98909006
Rizzyear,194.847085345,2274,0,1224360.883063972
WOULD,181.355057359,1301,0,4915575.540752215
WOULD,28.16794892,332,0,1471226.276129516
ai16zero,137.817467119,953,0,1884852.32456898
Sasha - Dasha’s Lil Shi,74.8084449,262,3.5767,203334.9487954551
Machine Delusions,162.958499353,706,3.1252,985897.2890222392
mind zero,479.900157262,1658,2.1856,4942722.33104713
PA(JEET),74.604910757,130,0,81778.70008785168
Its Pink,44.029402429,398,4.5,1670233.914100139
Machine Delusions,162.437332059,706,3.1252,986031.9655769012
DOGGY,23.165911557,614,0,200253.6692911806
Just A Chill Elon ,72.038695642,660,0,380343.3542373387
autism space dog,61.198586196,129,0,163916.268111338
PA(JEET),77.584456172,131,0,82548.65421884031
